Place Name,Dataset,Numero_Recensioni,Latitude,Longitude,Link_to_Place,Address
Teya,porto,1,,,"https://www.google.com/maps/search/Teya+Porto+Business+Plaza,+Campo+24+de+Agosto+145+3%C2%BA+andar,+4000-478+Porto,+Portugal","Porto Business Plaza, Campo 24 de Agosto 145 3º andar, 4000-478 Porto, Portugal"
Thais Ferraz Atelier,porto,1,,,"https://www.google.com/maps/search/Thais+Ferraz+Atelier+Rua+S%C3%A1+da+bandeira+Edif%C3%ADcio+Eneda+2,+andar+sala+17,+4000-437+Porto,+Portugal","Rua Sá da bandeira Edifício Eneda 2, andar sala 17, 4000-437 Porto, Portugal"
Thamel Restaurant,porto,2,,,"https://www.google.com/maps/search/Thamel+Restaurant+Rua+da+Picaria+25,+4000-407+Porto,+Portugal","Rua da Picaria 25, 4000-407 Porto, Portugal"
The 41 Bar,porto,1,,,"https://www.google.com/maps/search/The+41+Bar+R.+de+S%C3%A1+de+Noronha+41,+4050-159+Porto,+Portugal","R. de Sá de Noronha 41, 4050-159 Porto, Portugal"
The Barber Company Via Catarina,porto,1,,,"https://www.google.com/maps/search/The+Barber+Company+Via+Catarina+Via+Catarina+Shopping+,+Lojas+2.15,+4000-443+Porto,+Portugal","Via Catarina Shopping , Lojas 2.15, 4000-443 Porto, Portugal"
The China route,porto,5,,,"https://www.google.com/maps/search/The+China+route+R.+Teodoro+Sousa+Maldonado+177,+4250-486+Porto,+Portugal","R. Teodoro Sousa Maldonado 177, 4250-486 Porto, Portugal"
The City Club (Rooftop),porto,1,,,"https://www.google.com/maps/search/The+City+Club+(Rooftop)+R.+do+Ateneu+Comercial+do+Porto+13,+4000-450+Porto,+Portugal","R. do Ateneu Comercial do Porto 13, 4000-450 Porto, Portugal"
The Coffee,porto,2,,,"https://www.google.com/maps/search/The+Coffee+Rua+do+Ros%C3%A1rio+220,+4050-522+Porto,+Portugal","Rua do Rosário 220, 4050-522 Porto, Portugal"
The Convo Porto Hotel & Apartment,porto,1,,,"https://www.google.com/maps/search/The+Convo+Porto+Hotel+&+Apartment+Regi%C3%A3o+Norte+PT,+R.+de+Latino+Coelho+244,+4050-314+Porto,+Portugal","Região Norte PT, R. de Latino Coelho 244, 4050-314 Porto, Portugal"
The Dog — Cachorrinhos,porto,4,,,"https://www.google.com/maps/search/The+Dog+%E2%80%94+Cachorrinhos+R.+de+5+de+Outubro+213,+Porto,+Portugal","R. de 5 de Outubro 213, Porto, Portugal"
The Friends - Porto,porto,1,,,"https://www.google.com/maps/search/The+Friends+-+Porto+Rua+do+Amial+1216,+4200-063+Porto,+Portugal","Rua do Amial 1216, 4200-063 Porto, Portugal"
The Gin Club,porto,2,,,"https://www.google.com/maps/search/The+Gin+Club+R.+de+C%C3%A2ndido+dos+Reis+70,+4050-151+Porto,+Portugal","R. de Cândido dos Reis 70, 4050-151 Porto, Portugal"
The Good Burger,porto,16,,,"https://www.google.com/maps/search/The+Good+Burger+Rua+do+Loureiro+26,+4000-069+Porto,+Portugal","Rua do Loureiro 26, 4000-069 Porto, Portugal"
The Hole Cruising Bar Porto,porto,2,,,"https://www.google.com/maps/search/The+Hole+Cruising+Bar+Porto+Rua+da+Alegria+1018,+4000-035+Porto,+Portugal","Rua da Alegria 1018, 4000-035 Porto, Portugal"
The House of Brazilian Food,porto,1,,,"https://www.google.com/maps/search/The+House+of+Brazilian+Food+Rua+da+Alegria+863,+4000-047+Porto,+Portugal","Rua da Alegria 863, 4000-047 Porto, Portugal"
The Oporto International School,porto,1,,,"https://www.google.com/maps/search/The+Oporto+International+School+Rua+de+Vila+Nova+1071,+4100-506+Porto,+Portugal","Rua de Vila Nova 1071, 4100-506 Porto, Portugal"
The Portuguese Corner - Porto,porto,1,,,"https://www.google.com/maps/search/The+Portuguese+Corner+-+Porto+R.+de+Mouzinho+da+Silveira,+143+Porto,+Portugal","R. de Mouzinho da Silveira, 143 Porto, Portugal"
The Rolling Sports Bar,porto,1,,,"https://www.google.com/maps/search/The+Rolling+Sports+Bar+R.+Mte.+Guilherme+Camarinha+197,+4200-538+Porto,+Portugal","R. Mte. Guilherme Camarinha 197, 4200-538 Porto, Portugal"
The Stones,porto,1,,,"https://www.google.com/maps/search/The+Stones+R.+de+C%C3%A2ndido+dos+Reis+96,+4050-151+Porto,+Portugal","R. de Cândido dos Reis 96, 4050-151 Porto, Portugal"
The Taj Cuisine,porto,1,41.1594137,-8.633227,"https://www.google.com/maps/place/The+Taj+Cuisine/@41.1594137,-8.633227,17z/data=!4m6!3m5!1s0xd24659ec69a84ed:0xefe6c5dde10e8ae8!8m2!3d41.1594137!4d-8.633227!16s%2Fg%2F11vxn60740?entry=ttu&g_ep=EgoyMDI1MDExMC4wIKXMDSoASAFQAw%3D%3D","R. 15 de Novembro 75, 4100-112 Porto, Portugal"
The Terrace by Esquires Coffee,porto,1,,,"https://www.google.com/maps/search/The+Terrace+by+Esquires+Coffee+Rua+de+Miguel+Bombarda+18,+4050-376+Porto,+Portugal","Rua de Miguel Bombarda 18, 4050-376 Porto, Portugal"
The Wall Bar,porto,2,,,"https://www.google.com/maps/search/The+Wall+Bar+R.+de+C%C3%A2ndido+dos+Reis+90,+4050-151+Porto,+Portugal","R. de Cândido dos Reis 90, 4050-151 Porto, Portugal"
The villains barber and tattoo,porto,2,,,"https://www.google.com/maps/search/The+villains+barber+and+tattoo+R.+do+Padre+Jos%C3%A9+Pacheco+do+Monte+149,+4250-253+Porto,+Portugal","R. do Padre José Pacheco do Monte 149, 4250-253 Porto, Portugal"
Tia Aninhas,porto,1,,,"https://www.google.com/maps/search/Tia+Aninhas+R.+J%C3%BAlio+Louren%C3%A7o+Pinto+109,+4150-004+Porto,+Portugal","R. Júlio Lourenço Pinto 109, 4150-004 Porto, Portugal"
Tiki Taka Bar,porto,3,,,"https://www.google.com/maps/search/Tiki+Taka+Bar+Pra%C3%A7a+D.+Filipa+de+Lencastre,+4000-407+Porto,+Portugal","Praça D. Filipa de Lencastre, 4000-407 Porto, Portugal"
Tintas CIN,porto,1,,,"https://www.google.com/maps/search/Tintas+CIN+Rua+do+Campo+Alegre+1192,+4150-173+Porto,+Portugal","Rua do Campo Alegre 1192, 4150-173 Porto, Portugal"
Tio Fafá Hamburgueria - Porto,porto,3,,,"https://www.google.com/maps/search/Tio+Faf%C3%A1+Hamburgueria+-+Porto+R.+Jo%C3%A3o+das+Regras+205,+4000-293+Porto,+Portugal","R. João das Regras 205, 4000-293 Porto, Portugal"
Tito Consertador de Calçado,porto,1,,,"https://www.google.com/maps/search/Tito+Consertador+de+Cal%C3%A7ado+R.+do+Bonjardim+549,+4000-124+Porto,+Portugal","R. do Bonjardim 549, 4000-124 Porto, Portugal"
Tomás Coffee Brunch,porto,1,,,"https://www.google.com/maps/search/Tom%C3%A1s+Coffee+Brunch+Rua+de+Fernandes+Tom%C3%A1s+355,+4000-216+Porto,+Portugal","Rua de Fernandes Tomás 355, 4000-216 Porto, Portugal"
TontonCake,porto,3,41.1492616,-8.6040062,"https://www.google.com/maps/place/TontonCake/@41.1492616,-8.6040062,17z/data=!4m6!3m5!1s0xd2465c3521dd7f9:0x28ce3060867455e0!8m2!3d41.1492616!4d-8.6040062!16s%2Fg%2F11q8s87v9v?entry=ttu&g_ep=EgoyMDI1MDExMC4wIKXMDSoASAFQAw%3D%3D","Rua da Alegria 168, 4000-034 Porto, Portugal"
